[2024-03-10 22:07:10,184][torch.distributed.nn.jit.instantiator][INFO] - Writing /tmp/tmpocyx4jxb/_remote_module_non_scriptable.py
[2024-03-10 22:07:19,482][torch.distributed.distributed_c10d][INFO] - Added key: store_based_barrier_key:1 to store for rank: 0
[2024-03-10 22:07:19,482][torch.distributed.distributed_c10d][INFO] - Rank 0: Completed store-based barrier for key:store_based_barrier_key:1 with 1 nodes.
[2024-03-10 22:08:44,548][torch.distributed.nn.jit.instantiator][INFO] - Created a temporary directory at /tmp/tmpg77mnpom
[2024-03-10 22:08:44,548][torch.distributed.nn.jit.instantiator][INFO] - Writing /tmp/tmpg77mnpom/_remote_module_non_scriptable.py
[2024-03-10 22:08:52,729][torch.distributed.distributed_c10d][INFO] - Added key: store_based_barrier_key:1 to store for rank: 0
[2024-03-10 22:08:52,729][torch.distributed.distributed_c10d][INFO] - Rank 0: Completed store-based barrier for key:store_based_barrier_key:1 with 1 nodes.
[2024-03-10 22:15:02,278][torch.distributed.nn.jit.instantiator][INFO] - Created a temporary directory at /tmp/tmpzbwacgpj
[2024-03-10 22:15:02,278][torch.distributed.nn.jit.instantiator][INFO] - Writing /tmp/tmpzbwacgpj/_remote_module_non_scriptable.py
[2024-03-10 22:15:10,455][torch.distributed.distributed_c10d][INFO] - Added key: store_based_barrier_key:1 to store for rank: 0
[2024-03-10 22:15:10,455][torch.distributed.distributed_c10d][INFO] - Rank 0: Completed store-based barrier for key:store_based_barrier_key:1 with 1 nodes.
[2024-03-10 22:19:15,384][torch.distributed.nn.jit.instantiator][INFO] - Created a temporary directory at /tmp/tmpz3pcbxct
[2024-03-10 22:19:15,384][torch.distributed.nn.jit.instantiator][INFO] - Writing /tmp/tmpz3pcbxct/_remote_module_non_scriptable.py
[2024-03-10 22:19:23,401][torch.distributed.distributed_c10d][INFO] - Added key: store_based_barrier_key:1 to store for rank: 0
[2024-03-10 22:19:23,401][torch.distributed.distributed_c10d][INFO] - Rank 0: Completed store-based barrier for key:store_based_barrier_key:1 with 1 nodes.
[2024-03-10 22:20:09,501][torch.nn.parallel.distributed][INFO] - Reducer buckets have been rebuilt in this iteration.
[2024-03-10 22:20:27,991][torch.distributed.nn.jit.instantiator][INFO] - Created a temporary directory at /tmp/tmprx_v51o6
[2024-03-10 22:20:27,992][torch.distributed.nn.jit.instantiator][INFO] - Writing /tmp/tmprx_v51o6/_remote_module_non_scriptable.py
[2024-03-10 22:27:34,731][torch.distributed.nn.jit.instantiator][INFO] - Created a temporary directory at /tmp/tmpg3y26qdp
[2024-03-10 22:27:34,731][torch.distributed.nn.jit.instantiator][INFO] - Writing /tmp/tmpg3y26qdp/_remote_module_non_scriptable.py
[2024-03-10 22:27:51,319][torch.distributed.nn.jit.instantiator][INFO] - Created a temporary directory at /tmp/tmp47s2tv4u
[2024-03-10 22:27:51,320][torch.distributed.nn.jit.instantiator][INFO] - Writing /tmp/tmp47s2tv4u/_remote_module_non_scriptable.py
[2024-03-10 22:28:49,741][pytorch_lightning.utilities.rank_zero][INFO] - `Trainer.fit` stopped: `max_steps=5` reached.
[2024-03-10 22:30:47,319][torch.distributed.nn.jit.instantiator][INFO] - Created a temporary directory at /tmp/tmp346kpjd2
[2024-03-10 22:30:47,319][torch.distributed.nn.jit.instantiator][INFO] - Writing /tmp/tmp346kpjd2/_remote_module_non_scriptable.py
[2024-03-10 22:34:07,966][torch.distributed.nn.jit.instantiator][INFO] - Created a temporary directory at /tmp/tmphg9kkep2
[2024-03-10 22:34:07,966][torch.distributed.nn.jit.instantiator][INFO] - Writing /tmp/tmphg9kkep2/_remote_module_non_scriptable.py
[2024-03-10 22:34:16,504][torch.distributed.distributed_c10d][INFO] - Added key: store_based_barrier_key:1 to store for rank: 0
[2024-03-10 22:34:16,505][torch.distributed.distributed_c10d][INFO] - Rank 0: Completed store-based barrier for key:store_based_barrier_key:1 with 1 nodes.
[2024-03-10 22:34:17,953][torch.distributed.nn.jit.instantiator][INFO] - Created a temporary directory at /tmp/tmpo9f0xtjp
